(255, 129, 55)
(254, 93, 61)
(255, 78, 66)
(255, 89, 78)
(255, 99, 94)
(254, 120, 119)
(255, 159, 160)
(255, 190, 195)
(254, 211, 221)
(254, 220, 224)
(255, 210, 213)
(255, 190, 191)
(254, 155, 159)
(254, 123, 127)
(255, 109, 105)
(255, 96, 90)
(255, 88, 83)
(254, 119, 82)
(255, 153, 86)
(254, 165, 87)
(255, 171, 98)
(254, 182, 126)
(255, 202, 175)
(255, 221, 205)
(255, 233, 219)
(254, 236, 223)
(255, 228, 216)
(255, 221, 209)
(255, 206, 189)
(255, 196, 169)
(255, 177, 147)
(254, 156, 134)
(255, 136, 127)
(254, 127, 127)
(255, 141, 138)
(254, 155, 152)
(255, 172, 174)
(254, 193, 193)
(255, 211, 212)
(255, 220, 223)
(255, 226, 231)
(255, 232, 235)
(255, 227, 229)
(255, 224, 226)
(255, 218, 220)
(254, 208, 209)
(255, 202, 202)
(255, 194, 192)
(255, 182, 187)
(255, 190, 188)
(255, 196, 192)
(255, 206, 199)
(255, 216, 210)
(255, 224, 218)
(254, 230, 224)
(255, 233, 226)
(255, 239, 230)
(235, 240, 235)
(227, 240, 231)
(218, 246, 226)
(204, 255, 220)
(187, 254, 208)
(169, 254, 201)
(160, 255, 194)
(169, 254, 195)
(191, 254, 197)
(254, 254, 204)
(255, 247, 209)
(255, 232, 216)
(255, 231, 220)
(255, 232, 225)
(254, 234, 225)
(255, 240, 230)
(255, 236, 223)
(255, 228, 217)
(255, 223, 211)
(255, 212, 198)
(255, 229, 184)
(255, 255, 178)
(209, 255, 176)
(135, 255, 175)
(107, 254, 173)
(109, 254, 177)
(106, 255, 183)
(124, 254, 189)
(156, 255, 200)
(191, 255, 214)
(217, 243, 223)
(231, 239, 231)
(231, 243, 229)
(200, 252, 215)
(156, 254, 198)
(116, 255, 192)
(92, 255, 192)
(86, 255, 191)
(81, 255, 181)
(97, 254, 175)
(120, 255, 173)
(166, 254, 165)
(254, 254, 156)
(254, 229, 151)
(255, 197, 164)
(255, 203, 188)
(255, 222, 207)
(254, 232, 217)
(255, 229, 214)
(255, 210, 191)
(255, 178, 157)
(255, 182, 127)
(255, 233, 125)
(255, 255, 145)
(141, 255, 160)
(111, 254, 173)
(93, 255, 181)
(88, 255, 191)
(75, 255, 199)
(76, 255, 199)
(100, 255, 191)
(127, 255, 191)
(180, 254, 205)
(232, 246, 225)
(238, 250, 221)
(177, 255, 202)
(107, 255, 191)
(84, 254, 193)
(75, 254, 202)
(66, 254, 207)
(77, 255, 203)
(99, 255, 191)
(106, 254, 172)
(189, 254, 154)
(255, 255, 128)
(255, 222, 104)
(255, 159, 96)
(255, 148, 125)
(255, 190, 167)
(255, 219, 203)
(254, 210, 192)
(254, 167, 142)
(255, 124, 101)
(255, 145, 84)
(255, 197, 81)
(255, 246, 107)
(254, 255, 141)
(158, 255, 169)
(103, 255, 191)
(83, 254, 203)
(75, 255, 206)
(88, 254, 203)
(92, 255, 197)
(122, 255, 195)
(210, 255, 203)
(255, 245, 219)
(254, 241, 212)
(255, 254, 200)
(177, 255, 197)
(121, 255, 197)
(78, 255, 196)
(97, 255, 195)
(99, 255, 190)
(186, 254, 176)
(255, 255, 147)
(255, 246, 114)
(255, 216, 81)
(255, 172, 65)
(255, 129, 66)
(255, 110, 89)
(255, 149, 125)
(255, 204, 182)
(254, 196, 177)
(255, 141, 121)
(254, 94, 82)
(255, 105, 61)
(255, 142, 51)
(254, 180, 57)
(255, 215, 79)
(255, 239, 106)
(255, 255, 138)
(255, 255, 161)
(230, 255, 175)
(197, 255, 186)
(219, 255, 190)
(255, 254, 191)
(255, 236, 188)
(255, 221, 203)
(255, 202, 191)
(255, 198, 163)
(254, 222, 164)
(254, 238, 161)
(255, 244, 153)
(254, 244, 135)
(255, 237, 112)
(255, 222, 92)
(255, 202, 72)
(255, 178, 55)
(255, 148, 42)
(255, 113, 49)
(255, 87, 57)
(255, 99, 81)
(255, 140, 118)
(255, 199, 176)
(255, 204, 183)
(255, 146, 128)
(254, 103, 85)
(255, 83, 61)
(254, 86, 45)
(255, 113, 42)
(255, 140, 42)
(255, 162, 50)
(254, 182, 56)
(255, 192, 70)
(254, 199, 90)
(255, 197, 110)
(255, 186, 123)
(255, 163, 127)
(255, 161, 140)
(255, 194, 181)
(255, 193, 176)
(255, 151, 131)
(254, 137, 110)
(255, 135, 97)
(254, 145, 85)
(254, 150, 69)
(254, 146, 53)
(254, 134, 48)
(255, 121, 39)
(255, 102, 37)
(255, 79, 45)
(255, 78, 57)
(254, 88, 73)
(255, 108, 101)
(255, 164, 143)
(255, 212, 192)
(254, 217, 201)
(255, 181, 167)
(255, 132, 123)
(255, 99, 88)
(255, 80, 69)
(255, 72, 62)
(254, 78, 46)
(255, 83, 50)
(255, 96, 51)
(255, 101, 55)
(255, 105, 65)
(255, 100, 76)
(255, 111, 90)
(255, 129, 111)
(254, 161, 138)
(255, 197, 179)
(254, 208, 193)
(254, 176, 157)
(255, 149, 132)
(255, 115, 111)
(255, 100, 91)
(255, 89, 78)
(254, 78, 63)
(255, 79, 62)
(254, 67, 61)
(255, 74, 64)
(255, 85, 74)
(255, 91, 90)
(254, 123, 118)
(255, 162, 154)
(255, 205, 188)
(254, 226, 211)
(254, 231, 218)
(255, 213, 206)
(255, 197, 186)
(254, 162, 156)
(254, 134, 126)
(255, 109, 103)
(255, 88, 91)
(255, 85, 84)
(254, 93, 85)
(255, 93, 94)
(254, 106, 102)
(255, 124, 124)
(254, 155, 141)
(255, 181, 164)
(255, 200, 183)
(255, 216, 209)
(254, 226, 219)
(255, 209, 205)
(255, 201, 193)
(255, 190, 181)
(255, 173, 167)
(255, 153, 150)
(254, 140, 136)
(255, 128, 130)
(254, 133, 127)
(255, 143, 135)
(254, 156, 150)
(255, 178, 173)
(254, 199, 192)
(255, 219, 209)
(255, 229, 218)
(255, 238, 223)
(255, 237, 229)
(255, 232, 226)
(255, 229, 224)
(255, 220, 218)
(254, 215, 211)
(255, 199, 200)
(255, 196, 191)
(255, 187, 184)
(255, 190, 187)
(255, 193, 192)
(255, 198, 200)
(255, 210, 208)
(255, 218, 213)
(254, 220, 217)
(255, 224, 221)
(255, 232, 230)
(241, 242, 233)
(241, 244, 226)
(239, 250, 219)
(242, 255, 211)
(254, 254, 199)
(255, 254, 193)
(254, 252, 191)
(255, 236, 191)
(254, 218, 189)
(254, 208, 194)
(255, 211, 203)
(255, 217, 213)
(255, 223, 221)
(255, 226, 226)
(254, 230, 228)
(255, 236, 235)
(255, 230, 229)
(255, 221, 221)
(255, 215, 212)
(255, 196, 198)
(255, 182, 174)
(255, 164, 153)
(255, 160, 141)
(255, 176, 136)
(254, 202, 138)
(255, 226, 146)
(255, 254, 157)
(255, 254, 168)
(255, 255, 183)
(236, 255, 200)
(236, 249, 213)
(244, 242, 227)
(246, 247, 220)
(245, 254, 200)
(254, 254, 179)
(255, 255, 159)
(255, 245, 137)
(255, 212, 122)
(255, 184, 109)
(254, 152, 102)
(255, 142, 99)
(255, 121, 100)
(254, 120, 109)
(254, 136, 129)
(255, 164, 162)
(255, 189, 190)
(255, 215, 213)
(254, 224, 225)
(255, 223, 222)
(255, 195, 196)
(255, 160, 161)
(255, 122, 122)
(255, 99, 92)
(255, 97, 83)
(254, 96, 76)
(255, 109, 75)
(255, 125, 78)
(255, 145, 83)
(255, 174, 90)
(255, 207, 108)
(255, 237, 130)
(255, 255, 159)
(254, 254, 186)
(255, 250, 214)
(255, 251, 208)
(255, 252, 170)
(254, 232, 131)
(255, 195, 102)
(254, 164, 81)
(254, 142, 71)
(255, 120, 63)
(255, 104, 63)
(254, 92, 62)
(254, 85, 61)
(255, 82, 66)
